title,reason,score,comments
Africa: Record Technostress and Reduced Well-Being Show That Remote Working Isn't as Good as we Thought,Too short,1,0
Technostress: Causes impact and best practices,Too short,1,0
Technostress Among Data Scientists,Too short,1,1
Can a new device reduce technostress?,Low score,3,3
Technostress and work-life balance,Too short,1,1
Technostress chez les enseignants,Too short,1,1
Technostress-Management,Too short,1,1
»Technostress and work-life balance« | Business Psychology,Too short,1,0
"Technostress, engagement, burnout",Too short,1,1
"Comment les praticiens des relations publiques vivent-ils le technostress? (18+ Canadien.nes, TP praticien.ne.s des relations publiques avec 3+ ans d'expérience)",Low score,2,1
Technostress in companies: how should it be combated?,Too short,1,0
"Protecting mental health in the digital workspace: MEPS demand preventive measures against technostress and over-connection, to tackle mental health issues and boost the benefits of working from home.",Too short,23,0
Henk Rijckaert - Technostress : Biedt zijn eigen zaalshow gratis aan op youtube,Too short,44,14
aeonfade - technostress [Electronic] [2021],Too short,1,0
"How has Technostress, Technology Induced Stress, affect those of you in the field of IT/CS?",Low score,2,5
Remote Working and Technostress,Too short,1,1
Technostress of employees,Too short,1,1
Gamification and Technostress,Too short,1,1
Technostress in the workplace,Too short,1,1
Tools for coping with technostress at Spring Days,Too short,1,0
[IE] - Technostress: How Covid is straining teaching and learning | Irish Times,Too short,1,0
[IE] - Technostress: How Covid is straining teaching and learning,Too short,1,0
[Academic] Technostress in Mexican University Teachers,Low score,1,0
[Academic] TechnoStress in Remote workspaces,Low comment count,5,0
[Academic] Technostress in Remote Workspaces,Low score,2,0
Technostress and the coming age of interface technology.,Contains 'study' or 'interview',9,0
"Teilnehmer für Online-Studie gesucht! Thema: ""Der Zusammenhang von Technostress und Persönlichkeit"" https://srvy.cl/354OkoN via @SurveyCircle #technostress #BigFive #arbeitszufriedenheit #commitment #stressforschung #tech #umfrage #surveycircle https://srvy.cl/3i2jCAl",Too short,1,0
"Teilnehmer für Online-Studie gesucht! Thema: ""Reduzierung von Technostress durch Digital Nudging am Arbeitsplatz"" https://bit.ly/31PA0z1 via @SurveyCircle #stress #nudging #arbeitsumfeld #technologiestress #disstress #DigitalNudging #umfrage #surveycircle https://bit.ly/31LKob0",Too short,1,0
"Participants needed for online survey! Topic: ""Coping with Technostress: The role of self-regulatory processes"" https://bit.ly/2YAzYHX via @SurveyCircle #technostress #coping #SelfregulatoryProcesses #technology #survey @OfficialUoM #surveycircle https://bit.ly/2V1vARx",Too short,1,0
Technostress: how social media keeps us coming back even when it makes us unhappy,Too short,1,0
"""Extensive Technostress Research""",Too short,5,0
Email angst! Here are 10 ways to cut the technostress,Too short,1,0
Some tips to manage your Technostress – YellowAnt,Too short,1,0
"Hoe voorkom je technostress? ""We lijden aan infobesitas...""",Too short,0,6
"[Academic] Technostress survey study (who are currently working casually, part-time or full-time)",Contains 'study' or 'interview',3,0
[Academic] Mindfulness &amp; Technostress [Everyone],Too short,1,0
"[Academic] Your experiences of FoMO (fear of missing out), FoBO (fear of better options) and technostress (All)",Too short,4,2
He's one of us,Too short,221,15
Technostress: The Human Cost of the Computer Revolution ,Too short,1,0
"next time you see sufferers from anti-ai, clarify to them that they obviously have mental and behavioral disorders. /s /s /s /s. not /s if you have autism. autists will literally tell you what they think. XDD",Low score,0,11
A área de t.i é uma das áreas que mais destrói a saúde física e mental?,Not English,35,35
"New Research: How ""Digital Climate"" Impacts Employee Wellbeing During Digital Transformation",Contains 'study' or 'interview',18,2
Digitaler Stress im Berufskontext,Too short,1,1
New Research: The Psychological Impact of Digital Transformation on Employee Wellbeing,Low score,0,1
"New Research: Introducing ""Digital Climate"" as a Subdimension of Organizational Climate",Low score,2,0
New Research on Socio-Technical Aspects of Digital Transformation: Impact on Employee Wellbeing,Contains 'study' or 'interview',2,0
When Chatbots Go Wrong,Too short,1,1
When Chatbots Go Wrong,Too short,1,1
A área de t.i é uma das áreas que mais destrói a saúde física e mental?,Not English,5,28
Generative AI adoption's impact on occupational wellbeing (working adult population),Contains 'study' or 'interview',2,1
Generative AI & Work Wellbeing,Too short,1,1
Techno-Stress in young adults,Too short,1,1
[Academic] Survey on Work-Life Balance!,Low score,1,3
Work-Life Balance Survey (18+),Low score,2,2
Mindfulness and Technology Anxiety,Too short,1,1
🌟 Students + Technology = Let’s Talk! 🌟,Low score,1,0
Work-Life Balance Survey! (18+),Low score,1,2
[Academic] Survey on Work-Life Balance!,Low score,1,2
Digitaler Stress in der Arbeitswelt,Too short,1,1
Work-Life Balance Survey (18+),Low score,1,1
[Academic] Survey on Work-Life Balance!,Low score,1,2
Work-Life Balance Survey (18+),Low score,1,1
Looking for survey participants! (18 years or older),Low score,1,1
Looking for survey responses!,Low score,1,1
Work-Life Balance Survey! (18+),Low score,0,1
Work-Life Balance Survey (18+),Low score,1,1
Gamification & Work,Too short,1,1
Work-Life Balance Survey (18+),Low score,1,1
Work-Life Balance Survey (18 years or older),Low score,1,0
Work-Life Balance Survey (18 years or older),Low score,1,0
Work-Life Balance Survey (18+),Low score,0,1
(Academic) Work-Life Balance Survey (Remote employees),Low score,1,1
Looking for survey participants (18 years or older),Low score,1,0
[Academic} Survey on Work-Life Balance!,Low score,1,0
"ANSWER OUR SURVEY TO GET A CHANCE TO WIN ₱2,000 VIA GCASH",Contains 'study' or 'interview',4,1
"[Repost] [Academic] Anonymous survey on the Usability of Digital Management Systems used by workers - (5 mins, 18+, Global, Any industry)",Low score,1,1
"[Academic] Anonymous survey on the Usability of Digital Management Systems for workers - (5 mins, 18+, Global)",Low score,1,1
TAMM Feedback,Too short,1,1
Digital Workplace Monitoring,Too short,1,1
Gamification & Work,Too short,1,1
E-presenteeism's psychological cost,Too short,1,1
Digitaler Stress und Erholung,Too short,1,1
Digitaler Stress und Erholung,Too short,2,1
Digitaler Stress und Erholung,Too short,1,1
Anonyme Umfrage zu ChatGPT für Bachelorarbeit in Sozialwissenschaften,Low score,3,3
Digitaler Stress im Arbeitskontext,Too short,1,1
Digitaler Stress im Arbeitskontext,Too short,1,1
Generation Z Participants Needed for Thesis Research!!,Contains 'study' or 'interview',1,1
Participants Needed for Thesis Research!! (18-29)(Worldwide),Contains 'study' or 'interview',2,1
Participants Needed for Thesis Research!,Contains 'study' or 'interview',2,1
IA & its stressors,Too short,1,1
Techno-Stressoren am Arbeitsplatz,Too short,1,1
Techno-Stressoren am Arbeitsplatz,Too short,1,1
Künstliche Intelligenz,Too short,1,1
Technologie & santé au travail,Too short,1,1
Technologie & santé au travail,Too short,1,1
Seeking advice on re-orienting priorities AWAY from KPIs,Low comment count,7,1
Digital Detox: 10 Practical Tips to Free Your Body and Mind from Technological Stress,Contains 'study' or 'interview',9,3
ETUDE,Low score,0,0
"pls help, i still currently have 35 respondents out of 150 :(",Contains 'study' or 'interview',2,2
[Advice] Digital Detox: 10 Practical Tips to Free Your Body and Mind from Technological Stress,Contains 'study' or 'interview',7,0
Digital Detox: 10 Practical Tips to Free Your Body and Mind from Technological Stress,Low score,2,0
Améliorons le bien-être au travail,Too short,1,1
📣 [𝐂𝐀𝐋𝐋 𝐅𝐎𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐃𝐄𝐍𝐓𝐒] 📣,Low score,2,0
GAI and managerial behavior,Too short,1,1
boolean operators help??,Low score,1,1
Positive cyberpsychology,Low score,2,0
Techno-overload in the Workplace,Too short,1,1
Techno-overload in the Workplace,Too short,1,1
The Negative Effects of Social Media Usage in Teens,Low score,1,1
Do you think this is a dead cat bounce or a V shaped recovery?,Low score,0,36
fear of getting water on electronics?? or breaking them,Low score,1,2
Help! Decentraland survey,Low score,1,3
Employees' stress at work,Too short,1,1
"ChatGPT, planning and stress",Too short,1,1
"ChatGPT, planning and stress",Too short,1,1
How does use of Decentraland affect stress?,Low score,1,0
Télé-travail,Too short,1,1
Are you a public relations or communications professional in Canada? // Êtes-vous professionnel des relations publiques ou des communications au Canada ?,Low score,2,2
📜✅ Looking for FT Canadian PR pros for academic research survey // Recherchons des pros Canadien.ne.s qui travaillent à temps plein dans les RP pour une enquête de recherche académique.,Low score,4,2
Notificações em Smartphones,Too short,1,1
Digitization & Well-being,Too short,1,1
Digitization & Well-being,Too short,1,1
Person-Job-Fit & Job Meaninfulness,Too short,1,1
Wie entkomme man auch als Zeuge Jehovas dem Zoom-Stress? Schon mal was von Zoom-Fatigue gehört?,Low score,1,0
Digital Competence of Nurses with Direct Patient Care,Contains 'study' or 'interview',3,0
Each Special move used in the entire series so far (As of Just Sett Things... (D1 Promos)) in order.,Low comment count,43,2
Special Move Tier List: Rough Draft 2,Low comment count,37,2
Each Special move used in the entire series so far ( As of AP Ashe in Challenger?!) in order of Appearance.,Low comment count,46,1
Tecnhostress and interface technology,Contains 'study' or 'interview',1,0
Special Move Tier List: Rough Draft 4,Low score,2,0
Antwoord op vragen van het lid Gijs van Dijk over het recht op onbereikbaarheid,Low score,1,0
AI Dash Cams Give Wake-Up Calls to Drowsy Drivers | Innovative tech detects driver fatigue and signals them to take a break,Too short,632,49
Framework Fatigue: The Real Reason Developers Get Angry About New Tech,Too short,112,68
Framework Fatigue: The Real Reason Developers Get Angry About New Tech,Too short,29,70
"Simple Early Game Tech- Bait AI to Power Attack, Then Absorb Fatigue",Low score,2,0
"From sideline fashion to smart headbands that track hydration and fatigue—Prewrap is evolving fast. If your kid lives in this stuff, you’ll want to see where it’s headed next (and why the pros are already giving feedback). Tech, style, and performance are about to collide.",Too short,1,0
"Techs, How Do You Combat Compassion Fatigue?",Low comment count,8,0
Much love to all the pig mains out there,Too short,1628,480
Framework Fatigue: The Real Reason Developers Get Angry About New Tech,Too short,11,6
"Tech support people, WIBTA if I sent an email complaining of security fatigue?",Low score,0,2
Framework Fatigue: The Real Reason Developers Get Angry About New Tech,Too short,16,4
Framework Fatigue: The Real Reason Developers Get Angry About New Tech,Exception: No features in text.,9,4
"2 Years Later, OE is life changing. ",Contains 'study' or 'interview',943,172
"AIM ImmunoTech (NYSE American: AIM) published its final clinical study results from the AMP-518 trial on Ampligen® for Post-COVID fatigue, reinforcing potential links between Long COVID and ME/CFS.",Contains 'study' or 'interview',6,0
"AIM ImmunoTech (NYSE American: AIM) published its final clinical study results from the AMP-518 trial on Ampligen® for Post-COVID fatigue, reinforcing potential links between Long COVID and ME/CFS.",Contains 'study' or 'interview',6,0
"New data from AIM ImmunoTech (NYSE American: AIM) reveals essential links between COVID-19 and ME/CFS, highlighting the potential role of Ampligen® as an early-onset therapy for individuals struggling with chronic fatigue.",Too short,7,0
"New data from AIM ImmunoTech (NYSE American: AIM) reveals essential links between COVID-19 and ME/CFS, highlighting the potential role of Ampligen® as an early-onset therapy for individuals struggling with chronic fatigue.",Contains 'study' or 'interview',4,0
Framework Fatigue: The Real Reason Developers Get Angry About New Tech,Too short,1,0
"Most people aren't suffering from 'Zoom fatigue,' but they would consider quitting if they had to work in person. Two-thirds of the global workforce (64%) said that they have or would consider looking for a new job if their employer wanted them to return to the office full-time",Too short,2876,222
"Lost to a chain of Kingsbane Rogues, made up a tech card.",Too short,4008,423
"Tech Priest Enginseer. Spent so much time on the robe I feel like I got fatigued on the rest. Any CC is appreicated. Apologies for the repost, Im based in Japan and I feel like I posted it at an odd hour and it got buried. ",Too short,82,4
Ghost of Tsushima for PS4 Reviews - OpenCritic,Contains 'study' or 'interview',1660,948
AIM ImmunoTech Expands Patent Portfolio with New Netherlands Composition and Methods Patent Covering Ampligen for Use in the Post-COVID Condition of Fatigue,Too short,1,0
AIM | AIM ImmunoTech Expands Patent Portfolio with New Netherlands Composition and Methods Patent Covering Ampligen for Use in the Post-COVID Condition of Fatigue,Too short,1,0
"[Tech] - AI startups are snatching up San Francisco offices, using Zoom fatigue to recruit talent | NBC",Too short,1,0
"[Tech] - AI startups are snatching up San Francisco offices, using Zoom fatigue to recruit talent",Too short,1,0
"A look at AI-enabled dashcam tech being developed by Samsara, Motive, Nauto, and others to detect fatigue and deliver real-time audio alerts to drowsy drivers (Willie D. Jones/IEEE Spectrum)",Too short,1,0
I've been reading CS/EE/CE/Math/Physics/IT/SRE resumes for 30 years. I have some general advice for everyone (not just tech) on getting your resume noticed.,Contains 'study' or 'interview',1203,124
Have you experienced 'tech fatigue' while working remotely? What strategies do you use to combat it?,Too short,0,1
Forget all the broken cards. People who take turns too long should be nerfed,Too short,765,153
SMEs at risk of tech fatigue without critical skills and expertise,Too short,1,0
Ok................. It's time for my Annual Pre-Burning Man Rant and Predictions. 26 Years of attending the Burning Man Festival. ,Contains 'study' or 'interview',787,141
I finally found something that's resolving my symptoms!,Contains 'study' or 'interview',252,250
AIM ImmunoTech Announces that Analysis of AMP-518 Complete Clinical Patient Data Underscores Ampligen's Potential to Improve the Post-COVID Condition of Fatigue,Too short,1,0
I want to get a SD Oled but I'm worried about eye strain/fatigue/migraines because of its PWN tech,Low score,0,14
"After spending a long day with dad trying to sort his tech (under stress & pressure as he had an important call), he asks me for a hug as I’m walking out, at which point I’m fatigued / at my wits’ end. I just wave from a distance and leave. ",Low score,2,1
How to Manage Subscription Fatigue and Save Money! | AwesomeCast Tech Podcast,Too short,1,0
All-In has turned into right wing media,Contains 'study' or 'interview',388,357
Withings ScanWatch 2 and Light review: simple vibes for the tech-fatigued,Too short,1,0
Withings ScanWatch 2 and Light review: simple vibes for the tech-fatigued,Too short,1,0
[World] - ‘Tired not demoralised’: Ukraine’s tech workers fight growing war fatigue | Al Jazeera,Too short,1,0
[World] - ‘Tired not demoralised’: Ukraine’s tech workers fight growing war fatigue,Too short,1,0
[Tech] - Why singles are experiencing dating app fatigue | NBC,Too short,1,0
[Tech] - Why singles are experiencing dating app fatigue,Too short,1,0
I've reviewed thousands of applications for university recruiting at a startup. Here’s a bit of what I look for when reviewing an application. (Part 2),Contains 'study' or 'interview',1208,294
"Is this POTS? My hands turn blue when cold/after showering ever since having COVID in Dec 2021. I’ve been more fatigued than I was pre-COVID. My labs and echo are all normal. During my echo though, the tech said my heart rate increased when I turned toward her more.",Too short,0,19
I applied to 250 jobs and timed how long each one took,Contains 'study' or 'interview',851,128
"discovered Packouts and it's become an addiction. I'm a marine tech who frequently goes to off lake service calls, or take my tools home on a day off to wrench on my Audis. inserts are anti fatigue floor mats cut to shape and glued with spray adhesive",Too short,63,12
Swingin Suns - Fatigue EP [DataTech],Low score,1,0
Fun Fact: Sabra has a character sheet in Marvel Heroic Roleplaying and is playable and gets XP when you talk about Genocide,Too short,445,75
"🚀 Tired of Zoom Fatigue During Tech Interviews? We've Built the ""Netflix of Coding Interviews"" - Say Hello to HUNCH VUE™! 🚀",Contains 'study' or 'interview',1,1
This market's gonna teach us all!,Contains 'study' or 'interview',591,147
IPO Report: IPO market shows fatigue as trio of big tech deals languish in second week of trading,Too short,1,0
"I know people are a bit fatigued on MCU Spider-Man being tech-savvy, but I'd love to see Horizon Labs introduced as a possible career path for Peter down the line. It'd be a cool way to have him organically regain his old gadgets after spending maybe one film completely stripped and back to basics.",Too short,35,13
Ghost of Tsushima - Review Megathread,Contains 'study' or 'interview',446,1486
Why you should always schedule your job interviews in the early morning.,Contains 'study' or 'interview',434,38
DECK TECH | HOW TO PLAY AND BEAT FATIGUE OLDHIM (FLESH AND BLOOD PROQUEST SEASON 3),Too short,8,4
Big brain tech against fatigue,Too short,244,5
"Monitor Techs and ""Alarm Fatigue""",Low score,3,17
Fatigue Jump into Wall Bounce? How can she get so much height in this wall bounce if she just jumped? Any tips on how to pull this off or what video to watch that explain this tech in details?,Too short,15,6
"Pls, feed our workers.",Too short,1490,62
Arakni Deck Tech feat. Taotao Chu (Fatigue),Too short,1,1
[Tech] - Subscription fatigue: More companies are charging monthly fees. How much can consumers take? | USA Today,Too short,1,0
[Tech] - Subscription fatigue: More companies are charging monthly fees. How much can consumers take?,Too short,1,0
"Joining the billionaire fatigue, Hollywood is sticking it to the rich. Class satire is nothing new to Hollywood, but an urge to stick it to tech billionaires pairs nicely with the industry’s more recent storytelling obsession with scammers.",Too short,4,0
Blizzards take on a balanced meta,Too short,1177,199
Sean Tracy on building interiors. *Reposted*,Too short,976,279
I applied to 250 jobs and timed how long each one took,Contains 'study' or 'interview',785,72
"To the people who say our health last year was 'luck', try 'tech'. Zach Low: ""The Warriors rested Klay Thompson and Stephen Curry last March after data from Catapult devices (used in practices) and SportVU cameras indicated their bodies had reached extreme fatigue levels""",Too short,88,20
Consumers benefit from virtual experiences but are concerned about tech fatigue and security,Low score,1,0
"Getting obsessed with stimulus to fatigue ratio. Let’s do pause squats for a bit!!! They’re harder with less weight, right?!? Hehe. Warming up with 155kg /341lbs for 2. Drilling tech by pausing ought to sort out the ego.",Too short,5,2
"Burnout, me, digital, 2022",Too short,12903,144
New Poster for 'The Fantastic Four: First Steps',Too short,4897,681
"As little as ten minutes of mindfulness meditation each day can significantly reduce work stress. After the eight week digital course, all measures of work stress including burnout, depression, and anxiety were reduced. Improvements were also seen in work engagement",Too short,631,62
My first 6-digit income story,Contains 'study' or 'interview',4236,271
"[Origin] Digital Arcade Sale: The Sims 4 ($4.99 - 88% off), Star Wars Jedi: Fallen Order ($29.99 - 50% off), Madden NFL 20 ($13.79 - 77% off), Battlefield 4 ($2.99 - 85% off), Burnout Paradise Remastered ($2.99 - 85% off), Titanfall 2: Ultimate Edition ($2.99 - 90% off) and more",Too short,203,176
"37F – Burnout, Gov't Job Resignation, Now Exploring VA/Digital Work – Need Career Advice 🙏",Contains 'study' or 'interview',3,3
Carter is going to have Gifted Kid Burnout before he's even hit double digits.,Too short,138,97
This is what digital burnout looks like.,Low score,0,4
Screen Serenity Spell: Instant Healing for Digital Burnout,Low score,1,0
"[Recommendations] For Digital and Traditional Artists: How Did You Improve, Stay Consistent, and Avoid Burnout?",Low score,2,2
"minha mente entrou em completo burnout. como desespero, me ofereço para ser mentorada e (re)iniciar minha jornada do zero no mkt digital e afins.",Low score,4,44
Burnout while doing digital art (is this part of the deal with digital art as opposed to traditional?),Low score,0,3
"I wrote a 2025 blueprint for digital nomad families—remote work, travel, and parenting without burnout 🌍",Low score,2,0
"I wrote a 2025 blueprint for digital nomad families—remote work, travel, and parenting without burnout 🌍",Too short,1,0
"Burnout, Me (AndreMuller-art), digital, 2025",Too short,24,1
Is This Digital Burnout? | Yamaha R7,Too short,1,0
"Burnout Paradise Remastered (Xbox Series X|S, Xbox One Digital Download) - $4 for Game Pass Members",Too short,74,31
Everybody feeling subscription fatigue... Burnout on digital streaming services & in-store too...,Too short,8,0
BWU/Chandol fanart(s) i made when burnout dropped (also first time posting and making digital art),Too short,19,4
Preventing digital burnout in fast-paced workplaces,Too short,1,0
Preventing digital burnout in fast-paced workplaces,Too short,1,0
BURNOUT DIGITAL DELUXE,Too short,18,5
IWTL How to NOT get social/digital burnout (Texting and Networking),Low score,2,2
How to NOT get social/digital burnout (Texting and Networking),Too short,1,0
"[Steam] Burnout Paradise Remastered (PC Digital Download) [Deal: $3, Actual: $19.99]",Too short,1,1
2007 Retrospective,Contains 'study' or 'interview',2239,378
So I bought the Digital Deluxe for burnout...,Low score,4,1
"Burnout, Andrey Tyurin, digital photography, 2021",Too short,612,11
"Burnout, Me, Digital Art, 2022",Too short,371,8
Kreative Bücher sind auch zum Ausmalen da - auch für Erwachsene - warum? Um zum Beispiel den Alltagsstress abzubauen! Mit diesem kleinen Helfer kannst du regelmäßig digital Pausen einlegen und dich mit komplett anderem Zeugs beschäftigen und möglicher Weise einem BurnOut vorbeugen!,Too short,1,2
I've been working on my doodling with digital art and trying to apply it to my photos. I call this one Beach Burnout.,Too short,682,11
"Have You Read Cal Newport's New Book 'Slow Productivity' that came out this year? Discover How to Avoid Burnout and Boost Your Productivity! (The author of Deep Work, Digital Minimalism and So Good They Can't Ignore You)",Too short,3,0
"Have You Read Cal Newport's New Book 'Slow Productivity' that came out this year? Discover How to Avoid Burnout and Boost Your Productivity! (The author of Deep Work, Digital Minimalism and So Good They Can't Ignore You)",Too short,1,0
"Have You Read Cal Newport's New Book 'Slow Productivity' that came out this year? Discover How to Avoid Burnout and Boost Your Productivity! (The author of Deep Work, Digital Minimalism and So Good They Can't Ignore You)",Too short,1,0
"Have You Read Cal Newport's New Book 'Slow Productivity' that came out this year? Discover How to Avoid Burnout and Boost Your Productivity! (The author of Deep Work, Digital Minimalism and So Good They Can't Ignore You)",Too short,0,0
"2025 marks the first time we'll see YouTube videos listed as being uploaded ""20 years ago."" ",Too short,1618,32
"Burnout, Baz Grafton, Digital, 2023",Too short,14,0
"Interstellar Burnout, Me, Digital, 2022",Too short,204,5
"Burnout Paradise Remastered (Xbox Series X|S, Xbox One Digital Download) - $4 for Game Pass Members",Too short,14,5
Qual o jogo que foi lançado no dia em que você nasceu?,Too short,170,147
This is literally the only thing capitalism offers people nowadays.,Too short,2396,74
I’m interested in Freelance Digital Marketing but I was wondering if it’s a career with high levels of stress and burnout? How does it make you feel at the end of the day?,Low score,1,4
"JEE Adv is in 24 hours, here is the story of my journey...(Take 5 minutes of your time to read, might give you some fun/sad/motivational story lmao)",Contains 'study' or 'interview',288,77
Where in the world can I live comfortably and safe with $18/hr USD?,Contains 'study' or 'interview',285,592
"An Essay Documentary Film narrated by and featuring Korean-German Philosopher Byung-Chul Han. Han talks about the contemporary phenomenon of the 'Burnout Society'. He raises the question of how we want to live today, and uncovers the underlying themes of an achievement-oriented digital society.",Too short,278,8
"[Deal] Burnout Paradise Remastered (Xbox Series X|S, Xbox One Digital Download) - $4 for Game Pass Members",Too short,4,1
"FWIW, Burnout: Revenge digital code listed for pre-order on Amazon, releasing June 14th, 2016.",Too short,139,42
"Digital Entrepreneurial Burnout Mediation Study (Digital Entrepreneurs, 18+, with burnout symptoms found in the survey's consent form)",Contains 'study' or 'interview',1,3
Is everyone in r/Professors miserable?,Too short,448,54
Burnout Paradise - Where the developers are now,Contains 'study' or 'interview',2806,163
Digital Entrepreneur Burnout Study,Contains 'study' or 'interview',1,1
"Digital Entrepreneurial Burnout Mediation Study (Digital Entrepreneurs, 18+, with burnout symptoms found in the survey's consent form)",Contains 'study' or 'interview',1,1
AP Capstone Digital Burnout Mediation Research – Pre-Experiment Consent Form + Questionnaire (only 18+ Burnt-Out Digital Entrepreneurs),Contains 'study' or 'interview',1,1
Japanese sauna culture becomes a remedy for digital burnout,Too short,1,0
AP Capstone Digital Burnout Mediation Research – Pre-Experiment Consent Form + Questionnaire (only 18+ Burnt-Out Digital Entrepreneurs),Contains 'study' or 'interview',1,0
Rising digital workloads contributing to worker burnout,Too short,45,22
My favorite comment ever posted on this sub,Too short,478,161
"You might leave UPSC, it won't ever leave you!!",Contains 'study' or 'interview',327,72
IT Generalist and Digital Marketing. Which one is more stressful and higher burnout rate?,Low score,0,2
My journey from digital agency to startup: new rules to avoid burnout,Contains 'study' or 'interview',3,1
"Navigating the Digital Age: Unpacking ""Digital Burnout"" and Strategies to Combat It",Low score,1,0
"""College Burnout Student"", Me, Digital, 2023.",Too short,11,4
"Burnout, Likryt, Digital, 2023",Too short,19,0
This is tetanus. Fireball burnouts and triple digits. It doesn't really understand signs and traffic but it's fun to try and hang on to. Balls,Too short,61,28
Looking back at some DOs and DONTs on my 10 year old homelab,Contains 'study' or 'interview',373,48
IT Generalist and Digital Marketing. Which one is more stressful and higher burnout rate?,Low score,1,0
IT Generalist and Digital Marketing. Which one is more stressful and higher burnout rate?,Low score,0,0
"Drawing used to be my thing, but a couple of years of studying and chasing a career pushed it aside. Just recently I suffered s mega burnout and to escape it I started drawing again, now digitally. So voila, a little cute satanic cat, amateur artist (me)",Contains 'study' or 'interview',39,7
‘I deleted my Twitter account’: eight readers on how they avoid digital burnout,Too short,1,0
[Tech] - I deleted my Twitter account: eight readers on how they avoid digital burnout | Guardian,Too short,1,0
[Tech] - I deleted my Twitter account: eight readers on how they avoid digital burnout,Too short,1,0
[DigitalFoundry] Is Burnout Back? Dangerous Driving Tested On All Consoles!,Too short,69,25
[Lifestyle] - Tell us: how do you combat digital burnout? | Guardian,Too short,1,0
[Lifestyle] - Tell us: how do you combat digital burnout?,Too short,1,0
“INTERSTELLAR BURNOUT” Digital art by me 👽,Too short,31,2
A warning from an ex-GCSE student - probably not what you are expecting,Contains 'study' or 'interview',544,89
"Emotional burnout, Digital painting, artist collaboration Alexandra Saula & Brik Arty",Too short,86,0
"Burnout / Breakthrough, Me, Digital, 2022",Too short,92,3
“INTERSTELLAR BURNOUT” Digital art by me 👽,Too short,20,2
